Material,Size_Lx_A,H_nm,Average_MFP_nm,Knudsen_number,Frequency_THz,Debye_frequency_THz,Normalized_frequency,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio_raw,Ratio_plotted,Relative_change_plotted_percent,Was_overridden_in_plot
Ge,100,10.0,37.734179,3.7734178999999997,5.8,7.5,0.7733333333333333,5.915075123229841,5.639912942783037,0.9534812027380379,0.9534812027380379,-4.651879726196206,False
Ge,100,10.0,37.734179,3.7734178999999997,6.0,7.5,0.8,5.915075123229841,5.701781945653816,0.9639407491650657,0.9639407491650657,-3.605925083493433,False
Ge,100,10.0,37.734179,3.7734178999999997,6.2,7.5,0.8266666666666667,5.915075123229841,5.77480276185742,0.9762856162516788,0.9762856162516788,-2.3714383748321244,False
Ge,100,10.0,37.734179,3.7734178999999997,6.4,7.5,0.8533333333333334,5.915075123229841,5.863848741817776,0.991339690478167,0.991339690478167,-0.8660309521833054,False
Ge,100,10.0,37.734179,3.7734178999999997,6.6,7.5,0.88,5.915075123229841,5.9428675631599175,1.004698577676711,1.004698577676711,0.4698577676711002,False
Ge,100,10.0,37.734179,3.7734178999999997,6.8,7.5,0.9066666666666666,5.915075123229841,6.002028380210854,1.014700279399585,1.014700279399585,1.470027939958496,False
Ge,100,10.0,37.734179,3.7734178999999997,7.0,7.5,0.9333333333333333,5.915075123229841,6.045685715690579,1.022080969343534,1.022080969343534,2.2080969343533985,False
Ge,100,10.0,37.734179,3.7734178999999997,7.2,7.5,0.9600000000000001,5.915075123229841,6.0263753917601175,1.0188163744688845,1.0188163744688845,1.8816374468884511,False
Ge,100,10.0,37.734179,3.7734178999999997,7.4,7.5,0.9866666666666667,5.915075123229841,5.985038181893107,1.011827923941068,1.011827923941068,1.1827923941067908,False
Ge,200,20.0,37.734179,1.8867089499999998,0.4,7.5,0.05333333333333334,9.357041855341922,9.831564940838296,1.0507129382162024,1.0507129382162024,5.0712938216202375,False
Ge,200,20.0,37.734179,1.8867089499999998,0.6,7.5,0.08,9.357041855341922,9.69162813494341,1.0357576982954793,1.0357576982954793,3.5757698295479257,False
Ge,200,20.0,37.734179,1.8867089499999998,0.8,7.5,0.10666666666666667,9.357041855341922,9.811180621576067,1.0485344378335635,1.0485344378335635,4.853443783356348,False
Ge,200,20.0,37.734179,1.8867089499999998,1.0,7.5,0.13333333333333333,9.357041855341922,9.672023702892766,1.033662545537404,1.033662545537404,3.3662545537404,False
Ge,200,20.0,37.734179,1.8867089499999998,1.2,7.5,0.16,9.357041855341922,9.649321250708727,1.0312363030843923,1.0312363030843923,3.123630308439229,False
Ge,200,20.0,37.734179,1.8867089499999998,1.4,7.5,0.18666666666666665,9.357041855341922,9.601228827463125,1.0260965993202003,1.0260965993202003,2.6096599320200253,False
Ge,200,20.0,37.734179,1.8867089499999998,1.6,7.5,0.21333333333333335,9.357041855341922,9.493503578445903,1.0145838530182565,1.0145838530182565,1.4583853018256487,False
Ge,200,20.0,37.734179,1.8867089499999998,1.8,7.5,0.24000000000000002,9.357041855341922,9.507577688548622,1.0160879726236085,1.0160879726236085,1.6087972623608504,False
Ge,200,20.0,37.734179,1.8867089499999998,2.0,7.5,0.26666666666666666,9.357041855341922,9.522448393964224,1.0176772254714102,1.0176772254714102,1.7677225471410152,False
Ge,200,20.0,37.734179,1.8867089499999998,2.2,7.5,0.29333333333333333,9.357041855341922,9.407469025720834,1.0053892214183187,1.0053892214183187,0.5389221418318657,False
Ge,200,20.0,37.734179,1.8867089499999998,2.4,7.5,0.32,9.357041855341922,9.443684758953683,1.0092596469002963,1.0092596469002963,0.9259646900296348,False
Ge,200,20.0,37.734179,1.8867089499999998,2.6,7.5,0.3466666666666667,9.357041855341922,9.399521594062524,1.0045398684089832,1.0045398684089832,0.45398684089832386,False
Ge,200,20.0,37.734179,1.8867089499999998,2.8,7.5,0.3733333333333333,9.357041855341922,9.386179948671078,1.0031140283200208,1.0031140283200208,0.3114028320020834,False
Ge,200,20.0,37.734179,1.8867089499999998,3.0,7.5,0.4,9.357041855341922,9.340839672740524,0.9982684503444699,0.9982684503444699,-0.1731549655530129,False
Ge,200,20.0,37.734179,1.8867089499999998,3.2,7.5,0.4266666666666667,9.357041855341922,9.29359064411956,0.993218881329879,0.993218881329879,-0.6781118670120989,False
